Gm#,Date,Opp,W/L,W-L,Rank,GB,D/N,Attendance,cLI,Streak,H Game #,Pitcher,Day,Year,Win Avg,,
1,"Monday, Apr 6",CLE,W,1-0,1,Tied,N,43753,0.9,+,1,Keuchel,M,2015,1,,
2,"Wednesday, Apr 8",CLE,L,1-1,3,0.5,N,23078,0.97,-,2,Feldman,W,2015,0.5,,
3,"Thursday, Apr 9",CLE,L,1-2,4,1,D,22593,0.97,--,3,Wojciechowski,TH,2015,0.333333333,,
7,"Monday, Apr 13",OAK,L,3-4,2,0.5,N,19279,1.12,-,4,Feldman,M,2015,0.428571429,,
8,"Tuesday, Apr 14",OAK,L,3-4,3,1.5,N,18935,1.1,--,5,Peacock,T,2015,0.428571429,,
9,"Wednesday, Apr 15",OAK,W,4-5,2,0.5,N,19777,1.02,+,6,McHugh,W,2015,0.444444444,,
10,"Friday, Apr 17",LAA,L,4-6,4,1,N,22660,1.08,-,7,Qualls,F,2015,0.4,,
11,"Saturday, Apr 18",LAA,W,5-6,2,0.5,N,28209,1.04,+,8,Keuchel,SA,2015,0.454545455,,
12,"Sunday, Apr 19",LAA,W,6-6,1,up 0.5,D,24254,1.08,++,9,Feldman,S,2015,0.5,,
22,"Thursday, Apr 30",SEA,W-wo,15-7,1,up 4.0,N,19108,1.39,+++++++,10,Leone,TH,2015,0.681818182,,
23,"Friday, May 1",SEA,W,16-7,1,up 5.0,N,21834,1.44,++++++++,11,Fields,F,2015,0.695652174,,
24,"Saturday, May 2",SEA,W,17-7,1,up 6.0,N,24435,1.42,+++++++++,12,McHugh,SA,2015,0.708333333,,
25,"Sunday, May 3",SEA,W,18-7,1,up 7.0,D,25283,1.41,++++++++++,13,Neshek,S,2015,0.72,,
26,"Monday, May 4",TEX,L,18-8,1,up 7.0,N,17597,1.24,-,14,Qualls,M,2015,0.692307692,,
27,"Tuesday, May 5",TEX,L,18-9,1,up 6.0,N,20951,1.37,--,15,Feldman,T,2015,0.666666667,,
28,"Wednesday, May 6",TEX,L,18-10,1,up 5.0,N,22230,1.36,---,16,Deduno,W,2015,0.642857143,,
33,"Tuesday, May 12",SFG,L,20-13,1,up 4.0,N,20468,1.24,--,17,McHugh,T,2015,0.606060606,,
34,"Wednesday, May 13",SFG,W,21-13,1,up 4.0,N,20725,1.24,+,18,Qualls,W,2015,0.617647059,,
35,"Thursday, May 14",TOR,W,22-13,1,up 4.5,N,15777,1.26,++,19,Fields,TH,2015,0.628571429,,
36,"Friday, May 15",TOR,W,23-13,1,up 4.5,N,21653,1.22,+++,20,Keuchel,F,2015,0.638888889,,
37,"Saturday, May 16",TOR,W,24-13,1,up 4.5,N,27102,1.29,++++,21,Feldman,SA,2015,0.648648649,,
38,"Sunday, May 17",TOR,W,25-13,1,up 5.5,D,25307,1.21,+++++,22,McHugh,S,2015,0.657894737,,
39,"Monday, May 18",OAK,L,25-14,1,up 5.5,N,21724,1.22,-,23,Thatcher,M,2015,0.641025641,,
40,"Tuesday, May 19",OAK,W,26-14,1,up 5.5,N,17575,1.31,+,24,Hernandez,T,2015,0.65,,
41,"Wednesday, May 20",OAK,W,27-14,1,up 5.5,D,21066,1.26,++,25,Keuchel,W,2015,0.658536585,,
49,"Friday, May 29",CHW,L,30-19,1,up 5.0,N,25957,1.25,--,26,Fields,F,2015,0.612244898,,
50,"Saturday, May 30",CHW,W,31-19,1,up 5.0,D,29720,1.32,+,27,Keuchel,SA,2015,0.62,,
51,"Sunday, May 31",CHW,L,31-20,1,up 4.0,D,27423,1.31,-,28,Hernandez,S,2015,0.607843137,,
52,"Monday, Jun 1",BAL,W,32-20,1,up 4.0,N,17259,1.32,+,29,Harris,M,2015,0.615384615,,
53,"Tuesday, Jun 2",BAL,W,33-20,1,up 5.0,N,18730,1.32,++,30,McHugh,T,2015,0.622641509,,
54,"Wednesday, Jun 3",BAL,W,34-20,1,up 6.0,N,20305,1.29,+++,31,McCullers,W,2015,0.62962963,,
55,"Thursday, Jun 4",BAL,L,34-21,1,up 5.5,D,20219,1.22,-,32,Qualls,TH,2015,0.618181818,,
62,"Friday, Jun 12",SEA,W,35-27,1,up 2.5,N,32173,1.57,+,33,Oberholtzer,F,2015,0.564516129,,
63,"Saturday, Jun 13",SEA,L,35-28,1,up 1.5,D,36762,1.51,-,34,McHugh,SA,2015,0.555555556,,
64,"Sunday, Jun 14",SEA,W,36-28,1,up 2.5,D,29153,1.54,+,35,McCullers,S,2015,0.5625,,
65,"Monday, Jun 15",COL,W,37-28,1,up 2.5,N,21820,1.42,++,36,Keuchel,M,2015,0.569230769,,
66,"Tuesday, Jun 16",COL,W,38-28,1,up 2.5,D,22245,1.34,+++,37,Harris,T,2015,0.575757576,,
75,"Thursday, Jun 25",NYY,W,43-32,1,up 5.0,N,28643,1.52,+,38,Keuchel,TH,2015,0.573333333,,
76,"Friday, Jun 26",NYY,L,43-33,1,up 5.0,N,37748,1.52,-,39,Harris,F,2015,0.565789474,,
77,"Saturday, Jun 27",NYY,L,43-34,1,up 4.0,D,41133,1.46,--,40,Neshek,SA,2015,0.558441558,,
78,"Sunday, Jun 28",NYY,W,44-34,1,up 4.0,D,31961,1.51,+,41,McHugh,S,2015,0.564102564,,
79,"Monday, Jun 29",KCR,W,45-34,1,up 4.0,N,20419,1.5,++,42,McCullers,M,2015,0.569620253,,
80,"Tuesday, Jun 30",KCR,W,46-34,1,up 4.0,N,24642,1.5,+++,43,Keuchel,T,2015,0.575,,
81,"Wednesday, Jul 1",KCR,W,47-34,1,up 5.0,N,25848,1.54,++++,44,Gregerson,W,2015,0.580246914,,
92,"Friday, Jul 17",TEX,W,50-42,2,0.5,N,36904,1.79,+,45,McHugh,F,2015,0.543478261,,
93,"Saturday, Jul 18",TEX,L,50-43,2,1.5,N,41941,1.75,-,46,Feldman,SA,2015,0.537634409,,
94,"Sunday, Jul 19",TEX,W,51-43,2,1,D,36532,1.84,+,47,Keuchel,S,2015,0.542553191,,
95,"Tuesday, Jul 21",BOS,W,52-43,2,2,N,26913,1.62,++,48,Velasquez,T,2015,0.547368421,,
96,"Wednesday, Jul 22",BOS,W,53-43,2,2,N,31104,1.61,+++,49,McHugh,W,2015,0.552083333,,
97,"Thursday, Jul 23",BOS,W-wo,54-43,2,1,N,30748,1.61,++++,50,Breslow,TH,2015,0.556701031,,
101,"Tuesday, Jul 28",LAA,W,56-45,1,Tied,N,24031,2.4,+,51,McHugh,T,2015,0.554455446,,
102,"Wednesday, Jul 29",LAA,W,57-45,1,up 1.0,N,31272,2.34,++,52,McCullers,W,2015,0.558823529,,
103,"Thursday, Jul 30",LAA,W-wo,58-45,1,up 2.0,N,27598,2.29,+++,53,Alvarez,TH,2015,0.563106796,,
104,"Friday, Jul 31",ARI,L,58-46,1,up 2.0,N,34720,1.45,-,54,Neshek,F,2015,0.557692308,,
105,"Saturday, Aug 1",ARI,W,59-46,1,up 3.0,N,36602,1.57,+,55,Keuchel,SA,2015,0.561904762,,
106,"Sunday, Aug 2",ARI,W,60-46,1,up 4.0,D,33871,1.46,++,56,McHugh,S,2015,0.566037736,,
116,"Friday, Aug 14",DET,W,63-53,1,up 2.5,N,33212,1.88,++,57,Keuchel,F,2015,0.543103448,,
117,"Saturday, Aug 15",DET,L,63-54,1,up 2.5,N,29482,1.73,-,58,Neshek,SA,2015,0.538461538,,
118,"Sunday, Aug 16",DET,W-wo,64-54,1,up 3.5,D,29969,1.86,+,59,Gorzelanny,S,2015,0.542372881,,
119,"Monday, Aug 17",TBR,L,64-55,1,up 2.5,N,16256,1.86,-,60,Kazmir,M,2015,0.537815126,,
120,"Tuesday, Aug 18",TBR,W-wo,65-55,1,up 2.5,N,17749,1.96,+,61,Boxberger,T,2015,0.541666667,,
121,"Wednesday, Aug 19",TBR,W-wo,66-55,1,up 2.5,N,26001,1.89,++,62,Andriese,W,2015,0.545454545,,
122,"Thursday, Aug 20",TBR,L,66-56,1,up 2.5,N,18177,1.84,-,63,McHugh,TH,2015,0.540983607,,
123,"Friday, Aug 21",LAD,W,67-56,1,up 3.5,N,33833,1.9,+,64,Fiers,F,2015,0.544715447,,
124,"Saturday, Aug 22",LAD,W,68-56,1,up 4.0,N,39999,1.82,++,65,Kazmir,SA,2015,0.548387097,,
125,"Sunday, Aug 23",LAD,W-wo,69-56,1,up 4.0,D,28665,1.72,+++,66,Hatcher,S,2015,0.552,,
132,"Monday, Aug 31",SEA,W,73-59,1,up 4.0,N,19923,1.53,+,67,Keuchel,M,2015,0.553030303,,
133,"Tuesday, Sep 1",SEA,L,73-60,1,up 3.0,N,18157,1.29,-,68,Neshek,T,2015,0.54887218,,
134,"Wednesday, Sep 2",SEA,L,73-61,1,up 2.0,N,18669,1.65,--,69,Neshek,W,2015,0.544776119,,
135,"Friday, Sep 4",MIN,W,74-61,1,up 3.0,N,27807,2.1,+,70,McHugh,F,2015,0.548148148,,
136,"Saturday, Sep 5",MIN,L,74-62,1,up 2.0,N,27643,1.82,-,71,Gregerson,SA,2015,0.544117647,,
137,"Sunday, Sep 6",MIN,W,75-62,1,up 3.0,D,37648,2.18,+,72,Keuchel,S,2015,0.547445255,,
148,"Friday, Sep 18",OAK,L,77-71,2,2.5,N,27567,2.58,-----,73,Neshek,F,2015,0.52027027,,
149,"Saturday, Sep 19",OAK,W,78-71,2,2.5,N,27044,2.6,+,74,Qualls,SA,2015,0.523489933,,
150,"Sunday, Sep 20",OAK,W,79-71,2,1.5,D,22453,2.6,++,75,McHugh,S,2015,0.526666667,,
151,"Monday, Sep 21",LAA,W,80-71,2,1,N,25318,3.49,+++,76,Keuchel,M,2015,0.529801325,,
152,"Tuesday, Sep 22",LAA,L,80-72,2,2,N,25671,3.15,-,77,McCullers,T,2015,0.526315789,,
153,"Wednesday, Sep 23",LAA,L,80-73,2,3,D,25573,3.56,--,78,Harris,W,2015,0.522875817,,
154,"Friday, Sep 25",TEX,L,80-74,2,4.5,N,35180,2.95,---,79,Kazmir,F,2015,0.519480519,,
155,"Saturday, Sep 26",TEX,W,81-74,2,3.5,D,35736,2.41,+,80,McHugh,SA,2015,0.522580645,,
156,"Sunday, Sep 27",TEX,W,82-74,2,2.5,D,36084,2.8,++,81,Keuchel,S,2015,0.525641026,,
7,"Monday, Apr 11",KCR,W,3-4,3,0.5,N,43332,0.9,+,1,McHugh,M,2016,0.428571429,,
8,"Tuesday, Apr 12",KCR,L,3-5,4,1.5,N,21027,0.97,-,2,Fiers,T,2016,0.375,,
9,"Wednesday, Apr 13",KCR,L,3-6,4,2,N,24109,0.92,--,3,Giles,W,2016,0.333333333,,
10,"Thursday, Apr 14",KCR,L,3-7,5,2.5,N,21203,0.86,---,4,Fister,TH,2016,0.3,,
11,"Friday, Apr 15",DET,W,4-7,4,1.5,N,30092,0.81,+,5,Keuchel,F,2016,0.363636364,,
12,"Saturday, Apr 16",DET,L,4-8,5,2.5,N,30013,0.86,-,6,McHugh,SA,2016,0.333333333,,
13,"Sunday, Apr 17",DET,W,5-8,5,2,D,30657,0.81,+,7,Fiers,SA,2016,0.384615385,,
17,"Friday, Apr 22",BOS,L,5-9,5,5,N,26672,0.64,----,8,McHugh,F,2016,0.357142857,,
18,"Saturday, Apr 23",BOS,W,5-10,5,4,D,40232,0.61,+,9,Fiers,SA,2016,0.333333333,,
19,"Sunday, Apr 24",BOS,L,5-11,5,4,N,32416,0.71,-,10,Giles,SA,2016,0.3125,,
26,"Monday, May 2",MIN,L,8-18,5,7,N,18243,0.5,-,11,Keuchel,M,2016,0.307692308,,
27,"Tuesday, May 3",MIN,W,9-18,5,6.5,N,21153,0.48,+,12,McHugh,T,2016,0.333333333,,
28,"Wednesday, May 4",MIN,W,10-18,5,6.5,N,20847,0.54,++,13,Feldman,W,2016,0.357142857,,
29,"Thursday, May 5",SEA,L,10-19,5,7.5,N,20151,0.69,-,14,Gregerson,TH,2016,0.344827586,,
30,"Friday, May 6",SEA,W,11-19,5,6.5,N,25413,0.57,+,15,Fister,F,2016,0.366666667,,
31,"Saturday, May 7",SEA,L,11-20,5,7.5,N,31559,0.65,-,16,Sipp,SA,2016,0.35483871,,
32,"Sunday, May 8",SEA,W,12-20,5,6.5,D,28148,0.59,+,17,McHugh,SA,2016,0.375,,
33,"Monday, May 9",CLE,W,13-20,5,6.5,N,20222,0.57,++,18,Fiers,M,2016,0.393939394,,
34,"Tuesday, May 10",CLE,L,13-21,5,7.5,N,23976,0.61,-,19,Devenski,T,2016,0.382352941,,
35,"Wednesday, May 11",CLE,W-wo,14-21,3,7.5,D,24453,0.53,+,20,Anderson,W,2016,0.4,,
43,"Friday, May 20",TEX,L,17-26,5,8,N,28724,0.59,--,21,McCullers,F,2016,0.395348837,,
44,"Saturday, May 21",TEX,L,17-27,5,9,N,35040,0.53,---,22,Fiers,SA,2016,0.386363636,,
45,"Sunday, May 22",TEX,L,17-28,5,10,D,35035,0.44,----,23,Keuchel,SA,2016,0.377777778,,
46,"Tuesday, May 24",BAL,W-wo,18-28,5,9.5,N,24783,0.31,+,24,Bundy,T,2016,0.391304348,,
47,"Wednesday, May 25",BAL,W,19-28,5,9.5,N,25618,0.36,++,25,Neshek,W,2016,0.404255319,,
48,"Thursday, May 26",BAL,W,20-28,4,9,N,23826,0.39,+++,26,McCullers,TH,2016,0.416666667,,
54,"Wednesday, Jun 1",ARI,W-wo,25-29,3,6.5,N,22642,0.55,+++++,27,Clippard,W,2016,0.462962963,,
55,"Thursday, Jun 2",ARI,L,25-30,4,7,D,21764,0.63,-,28,Keuchel,TH,2016,0.454545455,,
56,"Friday, Jun 3",OAK,W,26-30,3,7,N,26458,0.59,+,29,Fister,F,2016,0.464285714,,
57,"Saturday, Jun 4",OAK,W-wo,27-30,3,7,D,37223,0.72,++,30,Madson,SA,2016,0.473684211,,
58,"Sunday, Jun 5",OAK,W,28-30,3,7,D,30817,0.76,+++,31,McCullers,S,2016,0.482758621,,
68,"Friday, Jun 17",CIN,L,32-36,3,11,N,37560,0.67,-,32,Neshek,F,2016,0.470588235,,
69,"Saturday, Jun 18",CIN,W-wo,33-36,3,11,D,39111,0.53,+,33,Smith,SA,2016,0.47826087,,
70,"Sunday, Jun 19",CIN,W,34-36,3,11,D,36369,0.58,++,34,Fiers,S,2016,0.485714286,,
71,"Monday, Jun 20",LAA,W,35-36,3,11,N,22553,0.65,+++,35,Fister,M,2016,0.492957746,,
72,"Tuesday, Jun 21",LAA,W-wo,36-36,3,10,N,25004,0.71,++++,36,Street,T,2016,0.5,,
73,"Wednesday, Jun 22",LAA,W,37-36,2,10,D,29649,0.84,+++++,37,Gregerson,W,2016,0.506849315,,
80,"Friday, Jul 1",CHW,W,43-37,2,8.5,N,31965,1.14,++++,38,Fiers,F,2016,0.5375,,
81,"Saturday, Jul 2",CHW,L,43-38,2,8.5,D,35116,1.14,-,39,Fister,SA,2016,0.530864198,,
82,"Sunday, Jul 3",CHW,L,43-39,2,8.5,D,30379,1.11,--,40,McHugh,S,2016,0.524390244,,
83,"Monday, Jul 4",SEA,W,44-39,2,7.5,D,29844,1.13,+,41,McCullers,M,2016,0.530120482,,
84,"Tuesday, Jul 5",SEA,W,45-39,2,7.5,N,21553,1.21,++,42,Keuchel,T,2016,0.535714286,,
85,"Wednesday, Jul 6",SEA,W,46-39,2,6.5,N,25709,1.24,+++,43,Giles,W,2016,0.541176471,,
86,"Thursday, Jul 7",OAK,L,46-40,2,6.5,N,20933,1.23,-,44,Fister,TH,2016,0.534883721,,
87,"Friday, Jul 8",OAK,W-wo,47-40,2,6.5,N,31438,1.2,+,45,Madson,F,2016,0.540229885,,
88,"Saturday, Jul 9",OAK,L,47-41,2,6.5,D,35312,1.21,-,46,McCullers,SA,2016,0.534090909,,
89,"Sunday, Jul 10",OAK,W-wo,48-41,2,5.5,D,28119,1.17,+,47,Hendriks,S,2016,0.539325843,,
96,"Friday, Jul 22",LAA,W,52-44,2,2.5,N,36453,1.48,++,48,McCullers,F,2016,0.541666667,,
97,"Saturday, Jul 23",LAA,W,53-44,2,2.5,N,35119,1.59,+++,49,McHugh,SA,2016,0.546391753,,
98,"Sunday, Jul 24",LAA,W,54-44,2,2.5,D,32721,1.59,++++,50,Fiers,S,2016,0.551020408,,
99,"Monday, Jul 25",NYY,L,54-45,2,3.5,N,30628,1.64,-,51,Keuchel,M,2016,0.545454545,,
100,"Tuesday, Jul 26",NYY,L,54-46,2,3.5,N,28134,1.6,--,52,Fister,T,2016,0.54,,
101,"Wednesday, Jul 27",NYY,W,55-46,2,2.5,N,35186,1.64,+,53,McCullers,W,2016,0.544554455,,
105,"Monday, Aug 1",TOR,W-wo,56-49,2,5.5,N,20623,1.4,+,54,Feldman,M,2016,0.533333333,,
